Diem,TyLe
15,0.82
15.1,0.95
15.2,0.74
15.3,0.72
15.4,0.72
15.5,0.99
15.6,0.94
15.7,0.91
15.8,0.78
15.9,0.95
16,0.92
16.1,0.7
16.2,0.96
16.3,0.74
16.4,0.79
16.5,0.84
16.6,0.99
16.7,0.79
16.8,0.97
16.9,0.9
17,0.84
17.1,0.94
17.2,0.85
17.3,0.89
17.4,0.88
17.5,0.75
17.6,0.89
17.7,0.99
17.8,0.89
17.9,0.76
18,0.93
18.1,0.73
18.2,0.69
18.3,0.97
18.4,0.91
18.5,0.94
18.6,0.9
18.7,0.71
18.8,0.92
18.9,0.77
19,0.92
19.1,0.85
19.2,0.96
19.3,0.77
19.4,0.74
19.5,0.81
19.6,0.7
19.7,0.89
19.8,0.79
19.9,0.65
20,0.84
20.1,0.74
20.2,0.81
20.3,0.98
20.4,0.9
20.5,0.67
20.6,0.7
20.7,0.79
20.8,0.84
20.9,0.95
21,0.96
21.1,0.68
21.2,0.88
21.3,0.87
21.4,0.74
21.5,0.68
21.6,0.92
21.7,0.81
21.8,0.87
21.9,0.87
22,0.68
22.1,0.88
22.2,0.94
22.3,0.7
22.4,0.74
22.5,0.66
22.6,0.88
22.7,0.67
22.8,0.69
22.9,0.81
23,0.71
23.1,0.71
23.2,1
23.3,0.82
23.4,0.92
23.5,0.68
23.6,0.73
23.7,0.98
23.8,0.71
23.9,0.99
24,0.74
24.1,0.95
24.2,0.79
24.3,0.89
24.4,0.97
24.5,0.86
24.6,1
24.7,0.79
24.8,0.75
24.9,0.75
25,0.93
25.1,0.71
25.2,0.75
25.3,0.86
25.4,0.71
25.5,0.99
25.6,0.81
25.7,0.91
25.8,0.73
25.9,0.88
26,0.94
26.1,0.87
26.2,0.73
26.3,0.75
26.4,0.7
26.5,0.72
26.6,0.91
26.7,0.97
26.8,0.69
26.9,0.77
27,0.74
27.1,0.94
27.2,0.73
27.3,0.89
27.4,0.85
27.5,0.75
27.6,0.67
27.7,0.97
27.8,0.94
27.9,1
28,0.95
28.1,0.84
28.2,0.78
28.3,0.86
28.4,0.8
28.5,0.89
28.6,0.94
28.7,0.98
28.8,1
28.9,0.9
29,0.74
29.1,0.66
29.2,0.9
29.3,0.77
29.4,0.69
29.5,0.92
29.6,0.85
29.7,0.99
29.8,0.77
29.9,0.77
30,0.73
